	date	P_2006	P_2008	P_2009	P_2010	P_2011	P_2012	P_2013	P_2014	P_2015	P_2016	P_2017	Month	day
76	76	2.4	0	0	0	0.2	4.5	0	2.1	0	0.7	0.2	July	Jul.15
77	77	0	0	1	0.6	0	0.8	0	0	0	0	2.4	July	Jul.16
78	78	6	0.2	0.2	17.8	0.3	35	22	0	5	0	1.7	July	Jul.17
79	79	0.6	36.8	3.2	0	0.3	0	2.3	0	1.7	16	0	July	Jul.18
80	80	0	0	0.2	16.4	0	0	20.8	0	41.2	0.2	7.5	July	Jul.19
81	81	13.2	0.7	0	0	0	0	5.2	0	0	0	8.9	July	Jul.20
82	82	1.4	6.2	1.2	10.2	5.8	0	0	0	30.5	1.6	0	July	Jul.21
83	83	3	14.4	0.8	0.2	0	0	0	0	0.2	1.5	0	July	Jul.22
84	84	1.6	0.7	0	1	0	25.4	10.8	11.2	0.3	17.4	0	July	Jul.23
85	85	0	4.2	0	0.2	0	0	0.2	0	1.1	0	15.4	July	Jul.24
86	86	26.4	0	0	0	1.1	0	0	0	3.4	4.7	1.1	July	Jul.25
87	87	0	4.9	16.6	0	4.4	0	0	0	0	0	0	July	Jul.26
88	88	0	0	0.2	0	0.2	0	0	9.1	1	0	0	July	Jul.27
89	89	0	1.8	0	0	0	0	11	8.2	0.2	0	0	July	Jul.28
90	90	0	0	0.2	0	4.3	0	3.1	0	0	0	0	July	Jul.29
91	91	0	4.1	0.2	0	0	0	0	0.5	4	0	0	July	Jul.30
92	92	0	1	0.2	0	0	3	0	12.3	0	0	36.6	July	Jul.31
93	93	12.6	0	0	0	25.5	0.4	7.4	0	7.2	0	0	August	Aug.1
94	94	45.4	4.6	17	11.8	1.7	0	0	0	0.2	0	0	August	Aug.2
95	95	4	21.6	0	50.6	0	0	0.7	0	0.2	0	0	August	Aug.3
96	96	1.4	0.2	3.6	16.2	0	0	0.2	0	3.2	0	32.1	August	Aug.4
97	97	0	0	0	4.8	0	14.1	0.2	1.1	0.2	0	10.4	August	Aug.5
98	98	0	12.3	2.2	0.2	1.2	0	0	0	0	0	0	August	Aug.6
99	99	0.6	0	0.4	0	3	0	0	5.3	0	0	0	August	Aug.7
100	100	0	14.9	0	19	0.5	0	0	0.2	0	0	0.2	August	Aug.8
101	101	0	0	0	0.4	39.4	2.2	6.1	0	0	0	0	August	Aug.9
102	102	4.6	0	0.4	0	7.8	9.2	0	0.2	26.8	0	0	August	Aug.10
103	103	0	1.5	5.4	0	0	11.1	0	0	45.5	0	0	August	Aug.11
104	104	0	0	0.2	0	0	1.7	0.2	1.7	1.6	2.1	5.5	August	Aug.12
105	105	0	0	0	0	0	0	12.1	42.3	0	32.6	0.6	August	Aug.13
106	106	3	0	0	0	21.4	0	2.3	0	3.7	15.9	0	August	Aug.14
107	107	0.2	0	0	13.2	0	1.8	0	4	0.5	0	6.9	August	Aug.15
108	108	0	0	0	13	10.3	0	0	11.8	0	70.9	0	August	Aug.16
109	109	0	0	0.2	0	0	0	0	0	0	0.2	0	August	Aug.17
110	110	0	13.9	0	0	1.2	0	0	0	4.3	0	18.1	August	Aug.18
111	111	17.6	0	0	0	0	0	0	0	0.2	0	0	August	Aug.19
112	112	11.6	0	4	0	0	0	0	0	8.6	0	0	August	Aug.20
113	113	2.2	0	13.2	1	37.5	0	0	0	5.5	16.4	0	August	Aug.21
114	114	0	0	0	6.6	2.2	0	6.8	0	0	0	8.8	August	Aug.22
115	115	0	0	16.8	0	0	0	0.2	0	0	0	0	August	Aug.23
116	116	0.4	0.3	0	0	0	0	0	0	0	0	0	August	Aug.24
117	117	0	0	0	0	7.9	0	4.1	0	1.1	0.6	0	August	Aug.25
118	118	0	0	0	0.6	0	0	0	0	0	0	0	August	Aug.26
119	119	35.4	0	0	0	0	0.8	0	0	0	0	0	August	Aug.27
120	120	0.2	0	0	0	51.4	0	4.2	0	0	0	0	August	Aug.28
121	121	0	0	5.6	0	1.6	0	0	0	0	0	0	August	Aug.29
122	122	0	0.3	2	0	0	0	17.6	0	0	0	0	August	Aug.30
123	123	0	0	0	0	0	0	0	9.8	0	7.4	0.5	August	Aug.31
