	cultivar	date	treatment	block	Mortierellomycota	Ascomycota	Basidiomycota
B38	Drought tolerant	May.24	25	5	NA	NA	NA
B39	Drought sensitive	May.24	50	5	76.43280632	17.39130435	3.557312253
B40	Drought sensitive	May.24	75	5	70.00988142	23.86363636	3.063241107
B41	Drought sensitive	May.24	50	6	47.33464956	39.38795656	5.231984205
B42	Drought tolerant	May.24	75	6	68.50937808	27.93682132	2.369200395
B43	Drought sensitive	May.24	25	6	56.86080948	37.4136229	2.418558736
B44	Drought sensitive	May.24	0	6	51.84079602	39.00497512	7.76119403
B45	Drought tolerant	May.24	50	6	25.29761905	69.79166667	1.488095238
B46	Drought tolerant	May.24	0	6	53.15893386	36.8213228	8.292201382
B47	Drought sensitive	May.24	75	6	32.03548546	62.39526861	3.449975357
B48	Drought tolerant	May.24	25	6	38.92451899	58.21410952	1.480019734
C1	Drought sensitive	Jun.7	25	1	48.37117473	45.0148075	4.195459033
C2	Drought tolerant	Jun.7	0	1	46.35597422	46.60386713	4.561229549
C3	Drought tolerant	Jun.7	75	1	57.60869565	34.28853755	4.891304348
C4	Drought sensitive	Jun.7	0	1	54.0513834	38.38932806	4.693675889
C5	Drought sensitive	Jun.7	50	1	46.62062161	44.00592008	6.314750863
C6	Drought sensitive	Jun.7	75	1	49.67901235	28.64197531	16.98765432
C7	Drought tolerant	Jun.7	25	1	50.5923001	40.72063179	4.689042448
C8	Drought tolerant	Jun.7	50	1	49.97535732	43.02612124	4.731394776
C9	Drought tolerant	Jun.7	0	2	55.63241107	33.99209486	4.59486166
C10	Drought tolerant	Jun.7	75	2	69.78807294	22.57269591	4.879250862
C11	Drought sensitive	Jun.7	25	2	51.74963036	33.21833415	10.10349926
C12	Drought sensitive	Jun.7	50	2	52.73803651	38.62851505	5.130735076
C13	Drought tolerant	Jun.7	25	2	55.55555556	38.7654321	4.395061728
C14	Drought tolerant	Jun.7	50	2	67.30769231	28.3530572	2.564102564
C15	Drought sensitive	Jun.7	75	2	65.2990608	29.21403856	3.262481463
C16	Drought sensitive	Jun.7	0	2	68.26022671	27.89551503	2.809265648
C17	Drought sensitive	Jun.7	75	3	66.58440276	28.13425469	2.961500494
C18	Drought tolerant	Jun.7	0	3	64.13418846	23.68031574	5.525407005
C19	Drought sensitive	Jun.7	50	3	65.0222003	26.04834731	5.821410952
C20	Drought tolerant	Jun.7	25	3	56.76209279	35.29121422	5.182625864
C21	Drought sensitive	Jun.7	25	3	76.6765286	18.88560158	2.810650888
C22	Drought tolerant	Jun.7	50	3	67.71349862	24.79338843	3.140495868
C23	Drought sensitive	Jun.7	0	3	44.74592995	47.36063148	4.292057227
C24	Drought tolerant	Jun.7	75	3	76.88492063	20.18849206	1.537698413
C25	Drought tolerant	Jun.7	25	4	60.34567901	28.88888889	3.75308642
C26	Drought tolerant	Jun.7	50	4	50.04930966	40.48323471	6.163708087
C27	Drought sensitive	Jun.7	0	4	71.88735178	21.98616601	4.397233202
C28	Drought sensitive	Jun.7	75	4	73.05034551	20.92793682	4.195459033
C29	Drought tolerant	Jun.7	0	4	60.14814815	32.88888889	4.49382716
C30	Drought sensitive	Jun.7	50	4	63.49678058	26.64685488	5.299653294
