	cultivar	date	treatment
D35	Drought tolerant	Jun.21	0
D36	Drought tolerant	Jun.21	50
D37	Drought sensitive	Jun.21	25
D38	Drought tolerant	Jun.21	25
D39	Drought sensitive	Jun.21	50
D40	Drought sensitive	Jun.21	75
D41	Drought sensitive	Jun.21	50
D42	Drought tolerant	Jun.21	75
D43	Drought sensitive	Jun.21	25
D44	Drought sensitive	Jun.21	0
D45	Drought tolerant	Jun.21	50
D46	Drought tolerant	Jun.21	0
D47	Drought sensitive	Jun.21	75
D48	Drought tolerant	Jun.21	25
E1	Drought sensitive	Jul.5	25
E2	Drought tolerant	Jul.5	0
E3	Drought tolerant	Jul.5	75
E4	Drought sensitive	Jul.5	0
E5	Drought sensitive	Jul.5	50
E6	Drought sensitive	Jul.5	75
E7	Drought tolerant	Jul.5	25
E8	Drought tolerant	Jul.5	50
E9	Drought tolerant	Jul.5	0
E10	Drought tolerant	Jul.5	75
E11	Drought sensitive	Jul.5	25
E12	Drought sensitive	Jul.5	50
E13	Drought tolerant	Jul.5	25
E14	Drought tolerant	Jul.5	50
E15	Drought sensitive	Jul.5	75
E16	Drought sensitive	Jul.5	0
E17	Drought sensitive	Jul.5	75
E18	Drought tolerant	Jul.5	0
E19	Drought sensitive	Jul.5	50
E20	Drought tolerant	Jul.5	25
E21	Drought sensitive	Jul.5	25
E22	Drought tolerant	Jul.5	50
E23	Drought sensitive	Jul.5	0
E24	Drought tolerant	Jul.5	75
E25	Drought tolerant	Jul.5	25
E26	Drought tolerant	Jul.5	50
E27	Drought sensitive	Jul.5	0
E28	Drought sensitive	Jul.5	75
E29	Drought tolerant	Jul.5	0
E30	Drought sensitive	Jul.5	50
E31	Drought tolerant	Jul.5	75
E32	Drought sensitive	Jul.5	25
E33	Drought sensitive	Jul.5	0
E34	Drought tolerant	Jul.5	75
E35	Drought tolerant	Jul.5	0
E36	Drought tolerant	Jul.5	50
E37	Drought sensitive	Jul.5	25
E38	Drought tolerant	Jul.5	25
E39	Drought sensitive	Jul.5	50
E40	Drought sensitive	Jul.5	75
E41	Drought sensitive	Jul.5	50
E42	Drought tolerant	Jul.5	75
E43	Drought sensitive	Jul.5	25
E44	Drought sensitive	Jul.5	0
E45	Drought tolerant	Jul.5	50
E46	Drought tolerant	Jul.5	0
E47	Drought sensitive	Jul.5	75
E48	Drought tolerant	Jul.5	25
F1	Drought sensitive	Jul.19	25
F2	Drought tolerant	Jul.19	0
F3	Drought tolerant	Jul.19	75
F4	Drought sensitive	Jul.19	0
F5	Drought sensitive	Jul.19	50
F6	Drought sensitive	Jul.19	75
F7	Drought tolerant	Jul.19	25
F8	Drought tolerant	Jul.19	50
F9	Drought tolerant	Jul.19	0
F10	Drought tolerant	Jul.19	75
F11	Drought sensitive	Jul.19	25
F12	Drought sensitive	Jul.19	50
F13	Drought tolerant	Jul.19	25
F14	Drought tolerant	Jul.19	50
F15	Drought sensitive	Jul.19	75
F16	Drought sensitive	Jul.19	0
F17	Drought sensitive	Jul.19	75
F18	Drought tolerant	Jul.19	0
F19	Drought sensitive	Jul.19	50
F20	Drought tolerant	Jul.19	25
