	Shannon	Inverse_Simpson	OTU_richness	PD	Chao1	ACE	cultivar	date	treatment	Shannon	block
E48	6.457954855	0.995570812	1076	67.6275	2859.453988	3307.52741	Drought tolerant	Jul.5	25	6.457954855	6
F1	6.33223283	0.995126706	1012	60.96574	3097.356589	3287.160561	Drought sensitive	Jul.19	25	6.33223283	1
F2	6.308781845	0.994264617	1021	66.12795	2718.903226	3102.170082	Drought tolerant	Jul.19	0	6.308781845	1
F3	6.332056141	0.994390962	1035	63.94662	2810.519481	3196.458053	Drought tolerant	Jul.19	75	6.332056141	1
F4	6.28254617	0.994680224	984	62.09689	2433.538462	2643.929015	Drought sensitive	Jul.19	0	6.28254617	1
F5	6.412684284	0.995588386	1049	63.71514	2871.866667	3140.881808	Drought sensitive	Jul.19	50	6.412684284	1
F6	6.257216137	0.994403786	994	63.12918	2582.636364	2943.677976	Drought sensitive	Jul.19	75	6.257216137	1
F7	6.42243997	0.99572328	1055	65.37625	3172.481203	3122.551875	Drought tolerant	Jul.19	25	6.42243997	1
F8	6.353708801	0.995535188	1011	60.06949	2558.490566	2930.913365	Drought tolerant	Jul.19	50	6.353708801	1
F9	6.299089345	0.994739122	1016	64.89048	2789.9	3242.419532	Drought tolerant	Jul.19	0	6.299089345	2
F10	5.416158017	0.983705813	644	38.65299	1401.990826	1613.19241	Drought tolerant	Jul.19	75	5.416158017	2
F11	5.763379498	0.988560583	790	47.60218	1739.666667	2015.425819	Drought sensitive	Jul.19	25	5.763379498	2
F12	5.676473386	0.986879154	755	45.08838	1786.957627	2051.406208	Drought sensitive	Jul.19	50	5.676473386	2
F13	5.626508095	0.987555525	724	41.41781	1752.449541	1987.847565	Drought tolerant	Jul.19	25	5.626508095	2
F14	5.762977781	0.987595423	815	49.26988	2084.229508	2292.814422	Drought tolerant	Jul.19	50	5.762977781	2
F15	6.071290699	0.991004355	937	57.80795	2529.189781	2970.247943	Drought sensitive	Jul.19	75	6.071290699	2
F16	5.743322548	0.98697605	797	47.73452	1931.224	2132.875125	Drought sensitive	Jul.19	0	5.743322548	2
F17	6.39001587	0.995405044	1052	63.58496	3006.726027	3213.845803	Drought sensitive	Jul.19	75	6.39001587	3
F18	5.082057197	0.977862134	526	34.0097	930.2592593	1128.241889	Drought tolerant	Jul.19	0	5.082057197	3
F19	4.894840682	0.976568289	443	27.33667	734.4886364	805.7060091	Drought sensitive	Jul.19	50	4.894840682	3
F20	5.577535906	0.986074063	729	44.90359	1663.846774	2011.506134	Drought tolerant	Jul.19	25	5.577535906	3
F21	5.169066878	0.980742888	557	30.96973	1099.85	1280.806876	Drought sensitive	Jul.19	25	5.169066878	3
F22	5.582604024	0.987983957	681	37.2646	1233.468531	1464.717296	Drought tolerant	Jul.19	50	5.582604024	3
F23	5.583569571	0.985809499	722	42.90706	1648.025641	1895.613895	Drought sensitive	Jul.19	0	5.583569571	3
F24	6.400623983	0.995517139	1047	61.45018	3067.683453	3198.04986	Drought tolerant	Jul.19	75	6.400623983	3
F25	3.35467677	0.961218837	31	6.44744	112.25	119.3063063	Drought tolerant	Jul.19	25	NA	4
F26	5.162532298	0.97878312	575	33.70113	1234.681319	1306.283876	Drought tolerant	Jul.19	50	5.162532298	4
F27	4.683580381	0.965440933	451	26.72119	790.0813953	864.9263101	Drought sensitive	Jul.19	0	4.683580381	4
F28	4.955523271	0.972669178	522	28.03129	896.9189189	1079.002425	Drought sensitive	Jul.19	75	4.955523271	4
F29	5.231341617	0.97785026	629	35.25998	1327.303571	1548.614589	Drought tolerant	Jul.19	0	5.231341617	4
F30	5.534513177	0.984896587	711	39.77983	1864.571429	2025.336063	Drought sensitive	Jul.19	50	5.534513177	4
F31	5.354633372	0.981131421	645	33.29014	1717.619048	1789.468945	Drought tolerant	Jul.19	75	5.354633372	4
F32	6.237894281	0.993746414	978	59.46463	2765.255639	2929.364695	Drought sensitive	Jul.19	25	6.237894281	4
F33	3.24449263	0.960219479	26	4.80822	176	351	Drought sensitive	Jul.19	0	NA	5
F34	4.881901025	0.974486927	482	26.87447	1333.886792	1230.152304	Drought tolerant	Jul.19	75	4.881901025	5
F35	5.036710642	0.975155698	555	31.01977	1233.404494	1417.732775	Drought tolerant	Jul.19	0	5.036710642	5
F36	5.086887354	0.974138766	590	37.07597	1336.010638	1525.05357	Drought tolerant	Jul.19	50	5.086887354	5
F37	5.246226116	0.977656468	656	39.45398	1674.453608	1964.972015	Drought sensitive	Jul.19	25	5.246226116	5
F38	5.005070409	0.971401457	579	35.79099	1313.032258	1532.565423	Drought tolerant	Jul.19	25	5.005070409	5
F39	5.236483795	0.977336331	638	37.56075	1560.723404	1719.64599	Drought sensitive	Jul.19	50	5.236483795	5
F40	5.007528731	0.972232672	568	32.19079	1386.024096	1555.758394	Drought sensitive	Jul.19	75	5.007528731	5
F41	3.722657301	0.973246136	45	7.03243	119.375	122.1629689	Drought sensitive	Jul.19	50	NA	6
F42	5.140254592	0.977826986	605	34.00706	1445.967742	1676.794021	Drought tolerant	Jul.19	75	5.140254592	6
F43	5.196236308	0.979169754	605	33.66754	1555.962963	1595.104278	Drought sensitive	Jul.19	25	5.196236308	6
F44	5.081452546	0.97712354	564	30.28282	1262.48913	1493.85303	Drought sensitive	Jul.19	0	5.081452546	6
F45	5.119314387	0.978332364	569	30.59316	1506.539474	1714.541815	Drought tolerant	Jul.19	50	5.119314387	6
F46	5.651060072	0.985135977	763	44.61975	1826.893443	2129.258302	Drought tolerant	Jul.19	0	5.651060072	6
F47	5.254351099	0.97701762	652	39.17924	1673.315217	1870.71631	Drought sensitive	Jul.19	75	5.254351099	6
F48	5.427117182	0.983929053	675	37.34527	1994.625	1967.413125	Drought tolerant	Jul.19	25	5.427117182	6
H1	3.652952623	0.971164115	42	6.59765	135.5	135.2047731	Drought sensitive	Aug.1	25	NA	1
H2	4.924491496	0.977823661	467	29.098	789	961.933466	Drought tolerant	Aug.1	0	4.924491496	1
H3	4.970209821	0.976994821	506	29.93397	1153.22973	1254.596659	Drought tolerant	Aug.1	75	4.970209821	1
H4	5.104757081	0.979854675	556	31.2282	1296.060241	1439.963546	Drought sensitive	Aug.1	0	5.104757081	1
H5	4.926258878	0.976126557	503	28.69453	1234.911765	1282.595929	Drought sensitive	Aug.1	50	4.926258878	1
H6	5.183140325	0.97855323	609	35.56487	1714.540541	1743.047903	Drought sensitive	Aug.1	75	5.183140325	1
H7	5.370758087	0.979934472	696	41.38352	1945.565217	2162.661352	Drought tolerant	Aug.1	25	5.370758087	1
H8	5.95715724	0.990734091	878	48.64309	2376.452381	2679.731289	Drought tolerant	Aug.1	50	5.95715724	1
H9	6.319790669	0.994216644	1031	63.50824	2851.241611	3182.4217	Drought tolerant	Aug.1	0	6.319790669	2
H10	5.147127925	0.981545604	525	29.20552	1446.3	1381.871965	Drought tolerant	Aug.1	75	5.147127925	2
H11	5.0107337	0.979637609	510	29.21824	1332.65625	1385.342669	Drought sensitive	Aug.1	25	5.0107337	2
H12	5.091743373	0.977792787	558	35.90515	1491.442857	1564.549474	Drought sensitive	Aug.1	50	5.091743373	2
H13	4.975219878	0.974713017	537	31.15412	1446.560606	1445.988903	Drought tolerant	Aug.1	25	4.975219878	2
H14	5.099983156	0.977994654	560	33.24101	1242.011628	1342.194391	Drought tolerant	Aug.1	50	5.099983156	2
H15	5.169077361	0.979113706	596	33.95944	1374.223404	1637.246625	Drought sensitive	Aug.1	75	5.169077361	2
H16	6.357971424	0.994632726	1043	63.00758	3000.8	3481.226303	Drought sensitive	Aug.1	0	6.357971424	2
H17	6.163410929	0.993033944	959	59.28589	2679.155556	3032.112245	Drought sensitive	Aug.1	75	6.163410929	3
H18	5.493003266	0.983863981	696	47.27617	1665.009259	1949.777074	Drought tolerant	Aug.1	0	5.493003266	3
H19	4.960298374	0.978540406	464	27.84514	865.1707317	961.5189029	Drought sensitive	Aug.1	50	4.960298374	3
H20	4.895095827	0.976908374	481	30.07699	1009.123457	1170.427926	Drought tolerant	Aug.1	25	4.895095827	3
H21	4.795423059	0.973615813	443	24.08801	840.7662338	944.8355735	Drought sensitive	Aug.1	25	4.795423059	3
H22	5.340751506	0.980631267	682	41.89666	1844.532609	1953.945837	Drought tolerant	Aug.1	50	5.340751506	3
H23	5.314665808	0.98021566	628	37.33917	1263	1468.986164	Drought sensitive	Aug.1	0	5.314665808	3
H24	5.043532506	0.974526825	574	36.66607	1224.524752	1468.478282	Drought tolerant	Aug.1	75	5.043532506	3
H25	6.253193737	0.993497999	998	62.64692	2811.608696	2989.082753	Drought tolerant	Aug.1	25	6.253193737	4
H26	4.851746172	0.973663311	461	26.46261	831.5357143	942.0940045	Drought tolerant	Aug.1	50	4.851746172	4
H27	5.289542249	0.977350106	678	43.78216	1393.113636	1760.486052	Drought sensitive	Aug.1	0	5.289542249	4
H28	5.106916585	0.976953973	585	39.52455	1376.7	1577.192985	Drought sensitive	Aug.1	75	5.106916585	4
H29	5.022814037	0.974249912	551	34.63072	1202.034091	1363.491449	Drought tolerant	Aug.1	0	5.022814037	4
H30	5.372009219	0.980909606	698	39.97398	1803.384615	2083.863415	Drought sensitive	Aug.1	50	5.372009219	4
H31	5.461213399	0.982256174	714	40.84875	1732.468468	1970.23407	Drought tolerant	Aug.1	75	5.461213399	4
H32	5.137092492	0.976460943	603	37.03768	1485.233333	1708.152918	Drought sensitive	Aug.1	25	5.137092492	4
H34	5.508149997	0.984291938	671	43.82626	1296.204724	1450.452794	Drought sensitive	Aug.1	0	5.508149997	5
H33	2.36938212	0.902777778	11	2.83283	33.5	66	Drought tolerant	Aug.1	75	NA	5
H35	5.500580316	0.982550186	711	46.57486	1357.641892	1622.443317	Drought tolerant	Aug.1	0	5.500580316	5
H36	5.956767064	0.9881597	916	58.0267	2182.0375	2765.969653	Drought tolerant	Aug.1	50	5.956767064	5
H37	5.498495755	0.981776444	740	45.21582	1819.08547	2189.164683	Drought sensitive	Aug.1	25	5.498495755	5
H38	5.461529857	0.980004294	729	44.34056	1885.682692	2022.858541	Drought tolerant	Aug.1	25	5.461529857	5
H39	5.214427107	0.975179447	648	37.79334	1642.978723	1870.202385	Drought sensitive	Aug.1	50	5.214427107	5
H40	5.276295019	0.977154414	647	40.51123	1438.271028	1687.980964	Drought sensitive	Aug.1	75	5.276295019	5
H41	6.327142047	0.994721073	1016	62.67194	2945.779412	3202.236304	Drought sensitive	Aug.1	50	6.327142047	6
H42	6.325831932	0.995167554	991	62.6008	2504.333333	2744.46387	Drought tolerant	Aug.1	75	6.325831932	6
H43	6.304530968	0.994474083	991	62.01899	2572.483221	2903.617337	Drought sensitive	Aug.1	25	6.304530968	6
H44	6.355876779	0.995479616	1006	63.83848	2746.070922	2880.092541	Drought sensitive	Aug.1	0	6.355876779	6
H45	6.290646553	0.994323515	1011	67.01965	2880.471429	3123.602375	Drought tolerant	Aug.1	50	6.290646553	6
H46	6.392880927	0.994996086	1050	64.6751	3005.729167	3246.760776	Drought tolerant	Aug.1	0	6.392880927	6
H47	6.256192946	0.993462851	1018	62.70045	2870.60274	3385.035544	Drought sensitive	Aug.1	75	6.256192946	6
H48	6.43133229	0.995519989	1066	67.93207	3053.013423	3442.07999	Drought tolerant	Aug.1	25	6.43133229	6
