	Shannon	Inverse_Simpson	OTU_richness	PD	Chao1	ACE	cultivar	date	treatment	Shannon	block
B8	6.267828403	0.995007961	939	60.1808	2435.257576	2494.216406	Drought tolerant	May.24	50	6.267828403	1
B9	6.17891196	0.994617052	918	57.88051	2403.007519	2654.018244	Drought tolerant	May.24	0	6.17891196	2
B10	6.297482683	0.995375595	977	63.76068	2535.047945	2816.242258	Drought tolerant	May.24	75	6.297482683	2
B11	6.292990101	0.995079683	974	63.80709	2637.065217	2899.324073	Drought sensitive	May.24	25	6.292990101	2
B12	6.316915339	0.995639209	950	59.73907	2180	2312.666524	Drought sensitive	May.24	50	6.316915339	2
B13	6.431275619	0.995868624	1022	68.32695	2480.312883	2768.738192	Drought tolerant	May.24	25	6.431275619	2
B14	6.526393575	0.996499873	1092	71.12031	2976.225	3278.913372	Drought tolerant	May.24	50	6.526393575	2
B15	6.59147351	0.997368611	1082	69.7937	2463.315789	2861.854189	Drought sensitive	May.24	75	6.59147351	2
B16	6.336177511	0.99501556	974	60.88482	2367.206667	2521.28571	Drought sensitive	May.24	0	6.336177511	2
B17	6.484112198	0.996163112	1066	68.44039	2508.081967	2878.999783	Drought sensitive	May.24	75	6.484112198	3
B18	6.302222001	0.994807519	995	64.31008	2415.140244	2794.430053	Drought tolerant	May.24	0	6.302222001	3
B19	6.313661378	0.995751779	979	63.1848	2449.039474	2617.893236	Drought sensitive	May.24	50	6.313661378	3
B20	6.282344302	0.995541363	934	63.48772	2083.119497	2338.094636	Drought tolerant	May.24	25	6.282344302	3
B21	6.326754707	0.995798802	973	63.878	2394.372549	2723.016251	Drought sensitive	May.24	25	6.326754707	3
B22	6.228365413	0.995260175	868	59.26508	1446.17734	1707.577615	Drought tolerant	May.24	50	6.228365413	3
B23	6.379929676	0.996150762	955	61.66429	1892.923913	2097.473689	Drought sensitive	May.24	0	6.379929676	3
B24	6.345637513	0.995084432	1001	64.78727	2576.52	2813.363034	Drought tolerant	May.24	75	6.345637513	3
B25	6.358021903	0.995576037	998	64.9055	2423.061728	2749.588126	Drought tolerant	May.24	25	6.358021903	4
B26	6.386056384	0.995685757	996	63.27747	2350.648148	2631.341625	Drought tolerant	May.24	50	6.386056384	4
B27	6.312216153	0.994841718	1001	65.17503	2719.444444	3044.234033	Drought sensitive	May.24	0	6.312216153	4
B28	6.258877249	0.994445109	953	62.66805	2281.880795	2518.644275	Drought sensitive	May.24	75	6.258877249	4
B29	6.336743273	0.994692574	996	64.06174	2421.9375	2742.498674	Drought tolerant	May.24	0	6.336743273	4
B30	6.308981874	0.995384145	959	62.20191	2055.514286	2307.54516	Drought sensitive	May.24	50	6.308981874	4
B31	6.20892716	0.994581429	946	59.73041	2260.871795	2531.112426	Drought tolerant	May.24	75	6.20892716	4
B32	6.29554461	0.994396661	1014	64.51483	2732.940397	3070.27647	Drought sensitive	May.24	25	6.29554461	4
B33	6.320990385	0.994691149	989	63.26192	2372.425926	2712.622865	Drought sensitive	May.24	0	6.320990385	5
B34	6.287785473	0.995293424	966	60.96404	2248.272727	2706.248492	Drought tolerant	May.24	75	6.287785473	5
B35	6.183297717	0.99382906	940	59.07053	2349.321918	2604.782832	Drought tolerant	May.24	0	6.183297717	5
B36	6.295457596	0.994510182	996	63.39426	2366.059172	2810.106491	Drought tolerant	May.24	50	6.295457596	5
B37	6.199473582	0.993869434	940	60.96985	2311.74	2712.336627	Drought sensitive	May.24	25	6.199473582	5
B38	6.305213962	0.994162496	1011	62.86735	3015.757576	3191.978373	Drought tolerant	May.24	25	6.305213962	5
B39	6.366216503	0.995739905	986	65.47415	2230.558824	2541.477713	Drought sensitive	May.24	50	6.366216503	5
B40	6.362057546	0.994817969	1007	64.07319	2341.123529	2567.827749	Drought sensitive	May.24	75	6.362057546	5
B41	6.285464223	0.995512389	947	59.74068	2237.681818	2552.314981	Drought sensitive	May.24	50	6.285464223	6
B42	6.2992676	0.994741497	973	63.58967	2518.443662	2700.219822	Drought tolerant	May.24	75	6.2992676	6
B43	6.335732607	0.995284399	983	64.1665	2367.377358	2682.760968	Drought sensitive	May.24	25	6.335732607	6
B44	6.183966567	0.993528398	944	62.36247	2350.899329	2799.511347	Drought sensitive	May.24	0	6.183966567	6
B45	6.278049074	0.994649351	968	62.08068	2349.384615	2727.811346	Drought tolerant	May.24	50	6.278049074	6
B46	6.159775429	0.993209212	935	61.2095	2555.165354	2615.480506	Drought tolerant	May.24	0	6.159775429	6
B47	6.191782365	0.993569721	945	61.45911	2199.223602	2581.082662	Drought sensitive	May.24	75	6.191782365	6
B48	6.153638254	0.992981221	961	62.96136	2419.890323	2834.172139	Drought tolerant	May.24	25	6.153638254	6
C1	6.245312332	0.994880666	936	56.72741	2182.184211	2370.548471	Drought sensitive	Jun.7	25	6.245312332	1
C2	6.282509936	0.995151405	949	61.32443	2203.018987	2571.974867	Drought tolerant	Jun.7	0	6.282509936	1
C3	6.385043519	0.995682432	995	63.71739	2201.966292	2599.266475	Drought tolerant	Jun.7	75	6.385043519	1
C4	6.313509467	0.995461092	956	61.03332	2311.234899	2560.508261	Drought sensitive	Jun.7	0	6.313509467	1
C5	6.376945173	0.9958596	997	63.89458	2528.176471	2960.82553	Drought sensitive	Jun.7	50	6.376945173	1
C6	6.271819563	0.995160429	933	60.79945	2204.877551	2367.175953	Drought sensitive	Jun.7	75	6.271819563	1
C7	6.28589407	0.994488333	964	61.36762	2282.764331	2509.246329	Drought tolerant	Jun.7	25	6.28589407	1
C8	6.323279211	0.99550194	964	59.13931	2234.006329	2458.951286	Drought tolerant	Jun.7	50	6.323279211	1
C9	6.200431584	0.994090299	952	61.30407	2334.324675	2714.000428	Drought tolerant	Jun.7	0	6.200431584	2
C10	6.233624577	0.994690674	959	59.89667	2551.450704	3003.457627	Drought tolerant	Jun.7	75	6.233624577	2
C11	6.404447592	0.995897598	1016	62.03333	2513.919255	2797.437032	Drought sensitive	Jun.7	25	6.404447592	2
C12	6.41300752	0.995787878	1029	65.26745	2654.828025	3021.648501	Drought sensitive	Jun.7	50	6.41300752	2
C13	6.385585101	0.995674358	1018	65.94869	2649.183007	2952.480159	Drought tolerant	Jun.7	25	6.385585101	2
C14	6.389372341	0.995671033	1011	63.7007	2481.518293	2961.521018	Drought tolerant	Jun.7	50	6.389372341	2
C15	6.370995607	0.995956496	983	64.74914	2333.745342	2737.350741	Drought sensitive	Jun.7	75	6.370995607	2
C16	6.36148956	0.996103264	981	60.71913	2256.358824	2728.569788	Drought sensitive	Jun.7	0	6.36148956	2
C17	6.391680833	0.995766504	1018	65.11654	2384.057803	2662.81091	Drought sensitive	Jun.7	75	6.391680833	3
C18	6.367701828	0.995440667	1034	67.10278	2919.724138	3239.213386	Drought tolerant	Jun.7	0	6.367701828	3
C19	6.422113984	0.995686707	1055	67.59246	2900.594771	3248.150911	Drought sensitive	Jun.7	50	6.422113984	3
C20	6.497909962	0.996637142	1070	71.5784	2731.982249	3236.37195	Drought tolerant	Jun.7	25	6.497909962	3
C21	6.508416245	0.996463299	1079	71.12619	2839.141104	3216.526378	Drought sensitive	Jun.7	25	6.508416245	3
C22	6.638760245	0.997299739	1139	70.86965	2969.857143	3292.872988	Drought tolerant	Jun.7	50	6.638760245	3
C23	6.557419573	0.996964403	1099	68.98103	2704.659341	3130.175453	Drought sensitive	Jun.7	0	6.557419573	3
C24	6.425105044	0.995990694	1038	66.61696	2641.236025	2884.507666	Drought tolerant	Jun.7	75	6.425105044	3
C25	6.476468568	0.996357379	1044	67.06543	2487	2681.313733	Drought tolerant	Jun.7	25	6.476468568	4
C26	6.449971072	0.996066216	1053	66.74018	2895.506757	3008.38782	Drought tolerant	Jun.7	50	6.449971072	4
C27	6.508544167	0.996312256	1078	70.21703	2759.886228	3057.020267	Drought sensitive	Jun.7	0	6.508544167	4
C28	6.385116404	0.995713306	1032	67.73196	2766.352941	3158.629906	Drought sensitive	Jun.7	75	6.385116404	4
C29	6.447517891	0.995857225	1048	67.88032	2498.3125	2916.886474	Drought tolerant	Jun.7	0	6.447517891	4
C30	6.545069889	0.996784861	1096	71.07709	2778.1875	3169.230525	Drought sensitive	Jun.7	50	6.545069889	4
C31	6.335574373	0.995549438	991	66.95164	2403.506173	2659.807621	Drought tolerant	Jun.7	75	6.335574373	4
C32	6.429081559	0.99620396	1038	69.64659	2513.462428	2962.722138	Drought sensitive	Jun.7	25	6.429081559	4
C33	6.390849435	0.995630659	1017	68.57976	2431.710059	2838.891884	Drought sensitive	Jun.7	0	6.390849435	5
C34	6.545006806	0.996856108	1090	71.29699	2961.089172	3177.418071	Drought tolerant	Jun.7	75	6.545006806	5
C35	6.515799126	0.995630659	1126	74.03767	3129.630952	3695.611731	Drought tolerant	Jun.7	0	6.515799126	5
C36	6.464361116	0.99561831	1067	70.52809	2742.127273	3145.479055	Drought tolerant	Jun.7	50	6.464361116	5
C37	6.445685643	0.995446367	1067	70.74871	2920.181818	3281.838124	Drought sensitive	Jun.7	25	6.445685643	5
C38	6.432781981	0.996256683	1036	66.33628	2446.155556	3003.780298	Drought tolerant	Jun.7	25	6.432781981	5
C39	6.456027107	0.996339804	1045	71.20522	2905.734266	2993.216198	Drought sensitive	Jun.7	50	6.456027107	5
C40	6.351080115	0.994804669	1045	68.9332	3056.615385	3446.83719	Drought sensitive	Jun.7	75	6.351080115	5
C41	6.530394899	0.996722638	1085	71.51358	2739.023121	3241.637489	Drought sensitive	Jun.7	50	6.530394899	6
C42	6.497668411	0.996413426	1086	70.99068	2999.45625	3506.648808	Drought tolerant	Jun.7	75	6.497668411	6
C43	6.484928113	0.996361179	1064	69.43416	2479.587302	3048.066289	Drought sensitive	Jun.7	25	6.484928113	6
C44	6.535497186	0.996384453	1087	73.01484	2610.413408	2876.068042	Drought sensitive	Jun.7	0	6.535497186	6
C45	6.518526134	0.996268557	1100	71.80381	3014.061728	3577.200837	Drought tolerant	Jun.7	50	6.518526134	6
C46	6.477620485	0.995778853	1081	70.08346	2821.736527	3229.654343	Drought tolerant	Jun.7	0	6.477620485	6
C47	6.486107666	0.996150762	1060	68.5495	2478.154696	2832.522691	Drought sensitive	Jun.7	75	6.486107666	6
C48	6.515095773	0.996605793	1079	70.76246	2856.304348	3204.969389	Drought tolerant	Jun.7	25	6.515095773	6
D1	6.322329739	0.994913915	1002	65.11099	2727.545455	2880.567711	Drought sensitive	Jun.21	25	6.322329739	1
D2	6.507330732	0.996581569	1071	67.17779	2599.135593	2897.194405	Drought tolerant	Jun.21	0	6.507330732	1
D3	6.492995285	0.996481348	1072	68.51428	2852.679245	3084.208341	Drought tolerant	Jun.21	75	6.492995285	1
D4	6.47986405	0.996394427	1059	66.50174	2739	3100.923546	Drought sensitive	Jun.21	0	6.47986405	1
D5	6.484807203	0.996479449	1061	68.13935	2503.243243	3072.371563	Drought sensitive	Jun.21	50	6.484807203	1
D6	6.421188945	0.996399652	1013	66.5052	2574.5	2789.829652	Drought sensitive	Jun.21	75	6.421188945	1
D7	6.448257835	0.9958615	1069	64.79772	2959.065359	3227.729765	Drought tolerant	Jun.21	25	6.448257835	1
D8	6.522269582	0.996530746	1081	68.61637	2872.428571	3318.502205	Drought tolerant	Jun.21	50	6.522269582	1
D9	6.445738723	0.9958425	1072	73.16603	2933.33758	3298.116486	Drought tolerant	Jun.21	0	6.445738723	2
D10	6.334514863	0.995534713	1010	63.89998	2700.430464	3087.092165	Drought tolerant	Jun.21	75	6.334514863	2
D11	6.403834225	0.995354696	1057	67.26211	2800.061728	3187.796884	Drought sensitive	Jun.21	25	6.403834225	2
D12	6.554120441	0.996727388	1113	72.1452	3313.006849	3455.044748	Drought sensitive	Jun.21	50	6.554120441	2
D13	6.478437365	0.996397277	1066	68.84261	2835.55	3165.561445	Drought tolerant	Jun.21	25	6.478437365	2
D14	6.489350241	0.996396802	1069	68.04969	2724.065868	3022.909014	Drought tolerant	Jun.21	50	6.489350241	2
