	Shannon	Inverse_Simpson	OTU_richness	Chao1	ACE	PD	cultivar	date	treatment	Shannon	block								
F1	3.910120092	0.941325924	247	520.3703704	441.3436496	21.49298	Drought sensitive	Jul.19	25	6.33223283	1								
F2	3.812321994	0.944978524	220	344.3846154	352.1575279	19.43463	Drought tolerant	Jul.19	0	6.308781845	1								
F3	3.822357437	0.929613434	243	383.6222222	419.8723107	20.33568	Drought tolerant	Jul.19	75	6.332056141	1								
F4	3.953051685	0.942321338	250	385.1304348	401.789636	22.3528	Drought sensitive	Jul.19	0	6.28254617	1								
F5	3.608823936	0.936061055	217	342.0714286	383.2115218	17.57963	Drought sensitive	Jul.19	50	6.412684284	1								
F6	3.978460837	0.94984979	265	486.6923077	481.7434326	20.01442	Drought sensitive	Jul.19	75	6.257216137	1								
F7	3.862246254	0.948404475	242	392.0652174	439.1132957	19.04189	Drought tolerant	Jul.19	25	6.42243997	1								
F8	3.952078404	0.948716057	236	369.1707317	387.8787312	18.92664	Drought tolerant	Jul.19	50	6.353708801	1								
F9	3.658844674	0.915034094	240	376.8837209	387.7692018	18.4924	Drought tolerant	Jul.19	0	6.299089345	2								
F10	3.728813179	0.933278167	263	441.22	496.8968617	18.9297	Drought tolerant	Jul.19	75	5.416158017	2								
F11	3.954667088	0.939254532	256	445.2564103	446.3619805	20.33127	Drought sensitive	Jul.19	25	5.763379498	2								
F12	3.634643916	0.913596544	241	397.0222222	456.2666667	17.70602	Drought sensitive	Jul.19	50	5.676473386	2								
F13	3.437534998	0.900097066	236	436.6	419.9798254	18.94786	Drought tolerant	Jul.19	25	5.626508095	2								
F14	3.720655053	0.92161324	241	388.1627907	408.4702885	18.68909	Drought tolerant	Jul.19	50	5.762977781	2								
F15	3.63015403	0.920161615	237	379.6923077	379.4052595	20.04016	Drought sensitive	Jul.19	75	6.071290699	2								
F16	3.813773094	0.931527094	250	409.5681818	437.573458	19.14614	Drought sensitive	Jul.19	0	5.743322548	2								
F17	3.940714357	0.940116965	265	489.0789474	474.992518	20.53564	Drought sensitive	Jul.19	75	6.39001587	3								
F18	3.452270331	0.908500085	213	304.2	355.9172854	17.79048	Drought tolerant	Jul.19	0	5.082057197	3								
F19	3.858232379	0.934906452	268	460.9183673	523.3299567	18.95644	Drought sensitive	Jul.19	50	4.894840682	3								
F20	3.420982697	0.891381009	205	341.9411765	363.4055771	16.00244	Drought tolerant	Jul.19	25	5.577535906	3								
F21	3.452558595	0.865350288	225	333.2790698	354.6264687	19.43495	Drought sensitive	Jul.19	25	5.169066878	3								
F22	3.605264647	0.904775656	217	343.6666667	348.5972827	16.7214	Drought tolerant	Jul.19	50	5.582604024	3								
F23	3.669270244	0.898837147	238	352.7727273	365.4704029	18.59717	Drought sensitive	Jul.19	0	5.583569571	3								
F24	3.304182524	0.894611857	201	370.4516129	384.1896545	14.35371	Drought tolerant	Jul.19	75	6.400623983	3								
F25	3.801229144	0.911840132	275	432.5	452.0228701	19.13292	Drought tolerant	Jul.19	25	NA	4								
F26	3.698201743	0.910613701	245	428.0769231	453.4225194	17.44304	Drought tolerant	Jul.19	50	5.162532298	4								
F27	3.493163505	0.876031935	237	382.6666667	421.9790206	16.93024	Drought sensitive	Jul.19	0	4.683580381	4								
F28	3.704817906	0.914134291	230	364.6923077	379.7561023	18.31932	Drought sensitive	Jul.19	75	4.955523271	4								
F29	3.434998474	0.850488971	247	390.2857143	446.4715181	18.33771	Drought tolerant	Jul.19	0	5.231341617	4								
F30	3.788103703	0.906269504	259	415.3125	463.1889976	20.89057	Drought sensitive	Jul.19	50	5.534513177	4								
F31	3.75979106	0.918956539	254	369	418.755133	16.77324	Drought tolerant	Jul.19	75	5.354633372	4								
F32	3.576147088	0.885507535	229	344.1162791	364.4815931	16.88088	Drought sensitive	Jul.19	25	6.237894281	4								
F33	3.843123055	0.931585819	259	445.0697674	463.6646549	20.92776	Drought sensitive	Jul.19	0	NA	5								
F34	3.803236373	0.928415152	239	385.4473684	384.7354848	18.21592	Drought tolerant	Jul.19	75	4.881901025	5								
F35	3.615503585	0.907192604	226	404.3636364	395.332162	17.83417	Drought tolerant	Jul.19	0	5.036710642	5								
F36	3.724384571	0.881009488	263	495.9166667	477.3282495	19.81955	Drought tolerant	Jul.19	50	5.086887354	5								
F37	3.745410237	0.911087869	254	417.875	403.7643467	20.62797	Drought sensitive	Jul.19	25	5.246226116	5								
F38	3.440272747	0.863394889	232	356.0909091	371.2708829	17.77859	Drought tolerant	Jul.19	25	5.005070409	5								
F39	3.812594515	0.913454342	252	390.75	399.346946	17.89873	Drought sensitive	Jul.19	50	5.236483795	5								
F40	3.311448514	0.872195394	213	373.5882353	388.6893085	16.10986	Drought sensitive	Jul.19	75	5.007528731	5								
F41	3.488902267	0.905163921	209	330.4166667	358.7991386	17.00827	Drought sensitive	Jul.19	50	NA	6								
F42	4.03379057	0.951467398	262	429.5531915	465.0471125	19.96076	Drought tolerant	Jul.19	75	5.140254592	6								
F43	3.816189129	0.938451309	227	392.0857143	410.1878146	19.09179	Drought sensitive	Jul.19	25	5.196236308	6								
F44	3.372307028	0.881588973	208	341.0285714	354.1152558	17.18845	Drought sensitive	Jul.19	0	5.081452546	6								
F45	3.571875377	0.897363197	216	322.3095238	357.7664975	17.57634	Drought tolerant	Jul.19	50	5.119314387	6								
F46	3.681262655	0.9017899	263	424.8823529	470.2426496	21.09715	Drought tolerant	Jul.19	0	5.651060072	6								
F47	3.755963113	0.910178359	247	354.0588235	379.7455355	18.90971	Drought sensitive	Jul.19	75	5.254351099	6								
F48	3.726497058	0.925257589	219	324.3947368	327.1280444	18.74298	Drought tolerant	Jul.19	25	5.427117182	6								
H1	3.895487468	0.946755806	244	375.3181818	394.6364689	21.29258	Drought sensitive	Aug.1	25	NA	1								
H2	3.899298942	0.947727438	247	390.1333333	411.2753755	19.95741	Drought tolerant	Aug.1	0	4.924491496	1								
H3	3.653338153	0.938097503	213	329.4	345.4911417	21.63885	Drought tolerant	Aug.1	75	4.970209821	1								
H4	3.884296798	0.943580771	256	392.9811321	427.6038452	19.67205	Drought sensitive	Aug.1	0	5.104757081	1								
H5	3.497741751	0.925362906	217	364.5675676	371.6436962	16.35542	Drought sensitive	Aug.1	50	4.926258878	1								
H6	3.899940312	0.957631585	233	363.8	396.6139506	20.67706	Drought sensitive	Aug.1	75	5.183140325	1								
H7	3.794033115	0.933731952	257	455.2439024	469.4790216	19.83927	Drought tolerant	Aug.1	25	5.370758087	1								
H8	3.833389886	0.937929093	254	444.5	467.576612	19.36668	Drought tolerant	Aug.1	50	5.95715724	1								
H9	3.733405124	0.932644811	247	368.1785714	425.4177453	18.01726	Drought tolerant	Aug.1	0	6.319790669	2								
H10	2.604188342	0.753491713	165	311.25	344.6484375	14.52616	Drought tolerant	Aug.1	75	5.147127925	2								
H11	3.850642794	0.930946153	249	524.8965517	475.2943409	20.8586	Drought sensitive	Aug.1	25	5.0107337	2								
H12	3.604698801	0.936967167	234	420.0697674	495.7254517	18.82197	Drought sensitive	Aug.1	50	5.091743373	2								
H13	3.420306578	0.8684632	211	367.1071429	338.3981313	16.89391	Drought tolerant	Aug.1	25	4.975219878	2								
H14	2.941702485	0.848477274	175	267.9411765	288.6138	16.18914	Drought tolerant	Aug.1	50	5.099983156	2								
H15	3.648023338	0.929809022	233	384.5909091	442.9246111	16.33805	Drought sensitive	Aug.1	75	5.169077361	2								
H16	3.643453115	0.932419617	226	388.027027	393.143434	19.46673	Drought sensitive	Aug.1	0	6.357971424	2								
H17	3.884463649	0.945222646	237	399.2564103	430.0260532	18.57523	Drought sensitive	Aug.1	75	6.163410929	3								
H18	3.798418361	0.933250018	248	365.9183673	388.8660526	16.72793	Drought tolerant	Aug.1	0	5.493003266	3								
H19	3.834289072	0.941866583	254	570.5517241	506.1195758	18.60432	Drought sensitive	Aug.1	50	4.960298374	3								
H20	2.552812	0.819722391	137	271.5263158	274.760662	9.76214	Drought tolerant	Aug.1	25	4.895095827	3								
H21	2.728496606	0.812276444	163	303.0454545	277.7497031	14.64936	Drought sensitive	Aug.1	25	4.795423059	3								
H22	3.641257854	0.906070519	241	448.4285714	438.1557774	17.0469	Drought tolerant	Aug.1	50	5.340751506	3								
H23	3.800557302	0.933591206	244	316.0151515	358.9475501	17.8139	Drought sensitive	Aug.1	0	5.314665808	3								
H24	3.716693117	0.914588561	248	393	407.3474169	19.54467	Drought tolerant	Aug.1	75	5.043532506	3								
H25	3.814561048	0.938853648	243	455.0625	413.4124777	14.74734	Drought tolerant	Aug.1	25	6.253193737	4								
H26	3.742290639	0.923491956	251	551.516129	524.4390504	19.64221	Drought tolerant	Aug.1	50	4.851746172	4								
H27	3.755659839	0.933058313	233	399.5263158	409.3462236	16.47953	Drought sensitive	Aug.1	0	5.289542249	4								
H28	3.640695106	0.907941954	234	416.0833333	418.3527711	17.15531	Drought sensitive	Aug.1	75	5.106916585	4								
H29	3.43421735	0.872594336	227	370.5609756	407.3243089	17.3849	Drought tolerant	Aug.1	0	5.022814037	4								
H30	3.475844231	0.887340629	223	372.875	410.5142252	18.64311	Drought sensitive	Aug.1	50	5.372009219	4								
H31	3.690514539	0.92737072	233	437	439.8423101	17.32268	Drought tolerant	Aug.1	75	5.461213399	4								
H32	3.656113425	0.9245029	245	419.4883721	457.8505017	14.00708	Drought sensitive	Aug.1	25	5.137092492	4								
H34	3.874366279	0.93650125	243	364.7272727	376.9680054	18.47893	Drought sensitive	Aug.1	0	5.508149997	5								
H33	3.52212859	0.9161125	193	299.34375	313.9848878	14.97061	Drought tolerant	Aug.1	75	NA	5								
H35	3.322428509	0.902627581	185	294.7741935	311.5595101	15.02715	Drought tolerant	Aug.1	0	5.500580316	5								
H36	3.432052106	0.896247422	197	313	322.596414	17.05171	Drought tolerant	Aug.1	50	5.956767064	5								
H37	3.559037492	0.901874833	243	433.65	456.7040783	19.44485	Drought sensitive	Aug.1	25	5.498495755	5								
H38	3.673309573	0.909557136	233	373.9268293	402.1682913	16.8598	Drought tolerant	Aug.1	25	5.461529857	5								
H39	3.599776729	0.901844743	218	338.6756757	349.6974426	16.74718	Drought sensitive	Aug.1	50	5.214427107	5								
H40	3.623427594	0.908267126	234	347.5714286	386.2868734	17.22133	Drought sensitive	Aug.1	75	5.276295019	5								
H41	3.674260517	0.927974472	239	404.1538462	413.4025811	20.52616	Drought sensitive	Aug.1	50	6.327142047	6								
H42	3.699671179	0.931386833	218	323	335.5674559	19.95464	Drought tolerant	Aug.1	75	6.325831932	6								
H43	3.762578179	0.928818462	233	393.5	392.2332222	17.749	Drought sensitive	Aug.1	25	6.304530968	6								
H44	3.158999338	0.875661627	191	308.5	365.1921409	16.33339	Drought sensitive	Aug.1	0	6.355876779	6								
H45	3.386185106	0.858391613	212	330.1351351	342.874406	19.65539	Drought tolerant	Aug.1	50	6.290646553	6								
H46	3.321765428	0.874127011	192	288.8333333	316.996094	16.1653	Drought tolerant	Aug.1	0	6.392880927	6								
H47	3.694617726	0.935238419	196	277.1621622	295.4706068	19.57013	Drought sensitive	Aug.1	75	6.256192946	6								
H48	3.657842225	0.932854474	225	373.1538462	386.0943992	18.21813	Drought tolerant	Aug.1	25	6.43133229	6								
