	cultivar	date	treatment	block	Thaumarchaeota	Actinobacteria	Proteobacteria	Acidobacteria	Verrucomicrobia	Bacteroidetes	Planctomycetes	Firmicutes
E10	Drought tolerant	Jul.5	75	2	14.42495127	25.73099415	24.80506823	12.6705653	6.578947368	3.118908382	2.192982456	1.705653021
E11	Drought sensitive	Jul.5	25	2	11.30604288	26.75438596	24.90253411	13.01169591	4.77582846	5.165692008	2.972709552	3.118908382
E12	Drought sensitive	Jul.5	50	2	11.9941492	25.2559727	25.3534861	13.60312043	3.998049732	4.144319844	3.169185763	2.437835202
E13	Drought tolerant	Jul.5	25	2	12.57309942	27.09551657	23.24561404	15.30214425	4.142300195	2.631578947	3.703703704	1.413255361
E14	Drought tolerant	Jul.5	50	2	12.91423002	28.26510721	22.7582846	13.69395712	5.506822612	3.118908382	3.313840156	1.754385965
E15	Drought sensitive	Jul.5	75	2	12.96928328	28.32764505	21.20916626	14.18820088	3.559239395	3.266699171	3.754266212	1.706484642
E16	Drought sensitive	Jul.5	0	2	13.25536062	29.67836257	20.37037037	14.13255361	4.044834308	2.631578947	4.483430799	1.803118908
E17	Drought sensitive	Jul.5	75	3	21.78362573	20.85769981	22.31968811	12.96296296	6.432748538	2.826510721	2.729044834	2.339181287
E18	Drought tolerant	Jul.5	0	3	21.39376218	21.88109162	22.46588694	13.69395712	5.750487329	2.339181287	3.411306043	1.364522417
E19	Drought sensitive	Jul.5	50	3	20.27290448	26.26705653	20.85769981	13.20662768	4.142300195	1.754385965	3.265107212	1.559454191
E20	Drought tolerant	Jul.5	25	3	22.80701754	18.66471735	23.78167641	12.18323587	5.506822612	4.337231969	3.167641326	2.2417154
E21	Drought sensitive	Jul.5	25	3	23.8791423	20.32163743	21.49122807	13.30409357	5.994152047	2.777777778	3.752436647	1.705653021
E22	Drought tolerant	Jul.5	50	3	18.46978558	25.53606238	21.10136452	14.66861598	4.044834308	2.485380117	4.142300195	1.461988304
E23	Drought sensitive	Jul.5	0	3	15.83820663	32.94346979	19.44444444	14.03508772	3.070175439	2.144249513	3.411306043	1.656920078
E24	Drought tolerant	Jul.5	75	3	15.39961014	31.09161793	22.7582846	11.84210526	4.385964912	2.923976608	3.50877193	1.072124756
E25	Drought tolerant	Jul.5	25	4	20.27290448	26.31578947	21.73489279	11.98830409	3.50877193	3.50877193	3.070175439	1.900584795
E26	Drought tolerant	Jul.5	50	4	19.44444444	27.29044834	22.61208577	12.47563353	3.362573099	2.38791423	3.216374269	1.851851852
E27	Drought sensitive	Jul.5	0	4	20.85769981	28.26510721	21.00389864	13.54775828	3.752436647	2.095516569	2.729044834	1.364522417
E28	Drought sensitive	Jul.5	75	4	19.93177388	28.16764133	21.10136452	12.23196881	5.019493177	3.703703704	2.192982456	1.1208577
E29	Drought tolerant	Jul.5	0	4	20.80896686	26.99805068	19.73684211	13.84015595	3.898635478	2.2417154	2.192982456	2.095516569
E30	Drought sensitive	Jul.5	50	4	18.37231969	28.41130604	21.00389864	14.08382066	4.580896686	2.485380117	2.38791423	1.072124756
E31	Drought tolerant	Jul.5	75	4	20.72159922	27.10872745	21.40419308	12.53047294	5.509507557	1.901511458	2.194051682	2.340321794
E32	Drought sensitive	Jul.5	25	4	21.39376218	21.53996101	22.31968811	12.91423002	5.994152047	3.752436647	2.923976608	1.656920078
E33	Drought sensitive	Jul.5	0	5	22.80701754	24.56140351	21.2962963	11.79337232	4.532163743	3.118908382	3.313840156	1.803118908
E34	Drought tolerant	Jul.5	75	5	22.12475634	23.73294347	23.14814815	12.57309942	3.460038986	2.680311891	2.729044834	2.192982456
E35	Drought tolerant	Jul.5	0	5	18.12865497	24.26900585	22.85575049	13.10916179	3.996101365	2.923976608	4.434697856	2.192982456
E36	Drought tolerant	Jul.5	50	5	22.85575049	22.27095517	21.05263158	12.28070175	4.288499025	4.044834308	4.044834308	2.436647173
E37	Drought sensitive	Jul.5	25	5	11.35477583	32.8460039	21.58869396	12.91423002	4.873294347	2.192982456	3.167641326	2.2417154
E38	Drought tolerant	Jul.5	25	5	19.00584795	26.31578947	22.61208577	12.86549708	4.093567251	2.923976608	2.972709552	1.656920078
E39	Drought sensitive	Jul.5	50	5	19.93177388	24.51267057	21.83235867	11.89083821	4.337231969	3.118908382	3.313840156	1.803118908
E40	Drought sensitive	Jul.5	75	5	18.03118908	23.58674464	21.73489279	14.08382066	6.237816764	2.290448343	3.216374269	1.608187135
E41	Drought sensitive	Jul.5	50	6	20.22417154	27.582846	22.31968811	11.45224172	3.703703704	3.65497076	2.875243665	1.26705653
E42	Drought tolerant	Jul.5	75	6	21.00389864	26.99805068	18.81091618	13.15789474	3.752436647	2.729044834	3.265107212	2.923976608
E43	Drought sensitive	Jul.5	25	6	24.31773879	23.29434698	21.05263158	13.20662768	4.288499025	3.070175439	3.216374269	1.364522417
E44	Drought sensitive	Jul.5	0	6	24.2202729	21.73489279	21.92982456	13.20662768	4.191033138	4.044834308	2.144249513	1.851851852
E45	Drought tolerant	Jul.5	50	6	20.5165692	23.73294347	23.14814815	12.96296296	3.411306043	2.2417154	3.65497076	1.656920078
E46	Drought tolerant	Jul.5	0	6	20.32163743	24.31773879	23.19688109	12.62183236	4.77582846	3.50877193	2.972709552	1.559454191
E47	Drought sensitive	Jul.5	75	6	21.10136452	26.55945419	21.2962963	12.08576998	4.873294347	2.290448343	3.265107212	1.218323587
E48	Drought tolerant	Jul.5	25	6	20.12670565	24.36647173	20.61403509	13.74269006	4.239766082	2.631578947	3.118908382	1.510721248
F1	Drought sensitive	Jul.19	25	1	21.05263158	20.85769981	24.26900585	14.61988304	4.142300195	3.167641326	3.265107212	2.485380117
F2	Drought tolerant	Jul.19	0	1	21.55046319	25.64602633	20.77035592	13.79814725	3.461725987	1.901511458	3.266699171	1.852754754
F3	Drought tolerant	Jul.19	75	1	22.46588694	24.36647173	21.49122807	12.57309942	3.216374269	3.167641326	2.485380117	2.485380117
F4	Drought sensitive	Jul.19	0	1	22.17348928	24.07407407	23.97660819	11.15984405	3.265107212	2.923976608	2.631578947	2.680311891
F5	Drought sensitive	Jul.19	50	1	19.00584795	25.87719298	23.73294347	14.23001949	4.093567251	3.216374269	2.436647173	1.510721248
F6	Drought sensitive	Jul.19	75	1	21.00389864	23.39181287	21.9785575	11.59844055	3.65497076	3.411306043	2.777777778	3.021442495
F7	Drought tolerant	Jul.19	25	1	17.59259259	25.09746589	28.11890838	12.42690058	2.923976608	3.070175439	1.998050682	2.144249513
F8	Drought tolerant	Jul.19	50	1	18.95711501	27.29044834	24.75633528	11.01364522	2.680311891	5.214424951	1.461988304	2.095516569
F9	Drought tolerant	Jul.19	0	2	21.9785575	20.80896686	23.78167641	14.13255361	5.847953216	2.923976608	2.339181287	1.754385965
F10	Drought tolerant	Jul.19	75	2	60.72124756	8.43079922	13.93762183	7.01754386	5.214424951	1.364522417	0.682261209	0.633528265
F11	Drought sensitive	Jul.19	25	2	49.46393762	14.66861598	14.47368421	8.918128655	3.265107212	2.53411306	1.510721248	1.218323587
F12	Drought sensitive	Jul.19	50	2	53.26510721	17.10526316	12.03703704	9.064327485	2.2417154	1.461988304	0.779727096	0.487329435
F13	Drought tolerant	Jul.19	25	2	53.3625731	16.95906433	13.54775828	9.844054581	1.900584795	1.1208577	0.536062378	0.633528265
F14	Drought tolerant	Jul.19	50	2	45.56530214	18.56725146	17.98245614	6.871345029	2.582846004	1.900584795	1.510721248	1.072124756
F15	Drought sensitive	Jul.19	75	2	38.25536062	20.41910331	16.66666667	11.01364522	3.070175439	2.046783626	2.2417154	1.072124756
F16	Drought sensitive	Jul.19	0	2	50.53606238	19.10331384	13.40155945	8.674463938	2.192982456	1.949317739	0.682261209	0.779727096
F17	Drought sensitive	Jul.19	75	3	18.90838207	28.31384016	23.44054581	13.59649123	4.873294347	1.949317739	2.729044834	1.072124756
F18	Drought tolerant	Jul.19	0	3	70.07797271	6.773879142	11.11111111	4.873294347	2.875243665	1.169590643	0.438596491	0.925925926
F19	Drought sensitive	Jul.19	50	3	78.07017544	4.727095517	9.40545809	3.167641326	1.608187135	0.341130604	0.438596491	0.633528265
F20	Drought tolerant	Jul.19	25	3	53.0214425	15.78947368	13.30409357	8.43079922	2.826510721	1.656920078	1.1208577	0.682261209
F21	Drought sensitive	Jul.19	25	3	68.12865497	10.72124756	11.30604288	5.604288499	1.559454191	0.341130604	0.536062378	0.14619883
F22	Drought tolerant	Jul.19	50	3	50	22.51461988	15.83820663	7.358674464	0.925925926	0.536062378	0.536062378	0.292397661
F23	Drought sensitive	Jul.19	0	3	53.0214425	21.24756335	11.74463938	8.625730994	1.315789474	0.877192982	0.584795322	0.341130604
F24	Drought tolerant	Jul.19	75	3	17.73879142	32.89473684	20.76023392	13.01169591	3.070175439	2.192982456	2.875243665	1.461988304
F25	Drought tolerant	Jul.19	25	4	NA	NA	NA	NA	NA	NA	NA	NA
F26	Drought tolerant	Jul.19	50	4	69.34697856	11.59844055	8.235867446	6.773879142	1.364522417	0.584795322	0.243664717	0.389863548
F27	Drought sensitive	Jul.19	0	4	76.94931774	9.795321637	5.994152047	4.288499025	0.925925926	0.292397661	0.487329435	0.097465887
F28	Drought sensitive	Jul.19	75	4	71.73489279	12.91423002	6.676413255	5.311890838	1.364522417	0.243664717	0.389863548	0.194931774
F29	Drought tolerant	Jul.19	0	4	66.91033138	15.10721248	8.625730994	5.506822612	1.023391813	0.779727096	0.243664717	0.194931774
F30	Drought sensitive	Jul.19	50	4	57.11500975	16.56920078	11.40350877	8.382066277	2.53411306	0.877192982	0.487329435	0.438596491
F31	Drought tolerant	Jul.19	75	4	65.25341131	15.93567251	8.674463938	6.627680312	1.218323587	0.292397661	0.243664717	0.292397661
F32	Drought sensitive	Jul.19	25	4	21.44249513	27.582846	20.71150097	15.49707602	4.970760234	1.510721248	2.290448343	0.438596491
F33	Drought sensitive	Jul.19	0	5	NA	NA	NA	NA	NA	NA	NA	NA
F34	Drought tolerant	Jul.19	75	5	81.38401559	5.701754386	5.165692008	5.068226121	0.779727096	0.584795322	0.389863548	0.194931774
F35	Drought tolerant	Jul.19	0	5	74.31773879	8.333333333	7.553606238	5.89668616	0.974658869	0.292397661	0.487329435	0.341130604
F36	Drought tolerant	Jul.19	50	5	69.73684211	8.723196881	8.723196881	5.458089669	2.144249513	2.2417154	0.633528265	0.438596491
F37	Drought sensitive	Jul.19	25	5	64.5711501	9.746588694	11.208577	7.553606238	2.339181287	1.169590643	0.633528265	0.487329435
F38	Drought tolerant	Jul.19	25	5	69.3957115	9.746588694	8.771929825	5.994152047	2.53411306	0.438596491	0.730994152	0.536062378
F39	Drought sensitive	Jul.19	50	5	66.2603608	10.72647489	9.361287177	6.923451975	3.071672355	0.48756704	0.682593857	0.292540224
F40	Drought sensitive	Jul.19	75	5	73.5380117	7.894736842	8.43079922	4.044834308	2.680311891	0.974658869	0.292397661	0.682261209
F41	Drought sensitive	Jul.19	50	6	NA	NA	NA	NA	NA	NA	NA	NA
F42	Drought tolerant	Jul.19	75	6	65.59454191	11.98830409	9.064327485	6.335282651	1.413255361	0.389863548	0.243664717	0.438596491
F43	Drought sensitive	Jul.19	25	6	65.15594542	13.40155945	10.13645224	5.653021442	1.1208577	2.095516569	0.243664717	0.828460039
F44	Drought sensitive	Jul.19	0	6	70.02923977	12.52436647	8.138401559	5.165692008	1.608187135	0.633528265	0.341130604	0.682261209
F45	Drought tolerant	Jul.19	50	6	67.20272904	12.6705653	10.4288499	4.483430799	1.364522417	1.851851852	0.389863548	0.730994152
F46	Drought tolerant	Jul.19	0	6	53.94736842	14.86354776	13.06042885	8.43079922	1.900584795	3.118908382	1.461988304	0.730994152
F47	Drought sensitive	Jul.19	75	6	62.91423002	14.23001949	9.844054581	7.358674464	1.900584795	1.023391813	0.633528265	0.730994152
F48	Drought tolerant	Jul.19	25	6	52.63157895	18.51851852	18.42105263	4.434697856	1.26705653	2.290448343	0.243664717	0.536062378
H1	Drought sensitive	Aug.1	25	1	NA	NA	NA	NA	NA	NA	NA	NA
H2	Drought tolerant	Aug.1	0	1	77.37688932	7.654802535	6.240858118	5.168210629	1.218917601	0.390053632	0.24378352	0
H3	Drought tolerant	Aug.1	75	1	75.68226121	7.602339181	5.409356725	5.360623782	1.900584795	1.169590643	0.487329435	0.925925926
H4	Drought sensitive	Aug.1	0	1	74.31773879	7.748538012	8.089668616	4.92202729	1.754385965	0.877192982	0.438596491	0.730994152
H5	Drought sensitive	Aug.1	50	1	77.09551657	7.115009747	7.30994152	5.555555556	1.169590643	0.292397661	0.243664717	0.14619883
H6	Drought sensitive	Aug.1	75	1	68.42105263	10.4288499	8.918128655	6.432748538	1.26705653	1.218323587	0.633528265	0.828460039
H7	Drought tolerant	Aug.1	25	1	61.25730994	11.50097466	12.08576998	7.894736842	2.631578947	1.26705653	0.682261209	0.389863548
H8	Drought tolerant	Aug.1	50	1	38.98635478	29.62962963	15.74074074	9.502923977	1.072124756	1.1208577	0.730994152	0.779727096
H9	Drought tolerant	Aug.1	0	2	23.5380117	17.9337232	24.56140351	15.88693957	5.263157895	3.167641326	2.680311891	1.26705653
H10	Drought tolerant	Aug.1	75	2	69.44444444	7.553606238	12.23196881	3.606237817	3.947368421	1.559454191	0.341130604	0.438596491
H11	Drought sensitive	Aug.1	25	2	75.14619883	5.799220273	7.651072125	5.994152047	2.436647173	0.974658869	0.438596491	0.438596491
H12	Drought sensitive	Aug.1	50	2	71.62359824	6.874695271	8.483666504	7.508532423	1.755241346	1.023890785	0.585080449	0.341296928
H13	Drought tolerant	Aug.1	25	2	73.0994152	6.871345029	8.089668616	7.261208577	2.192982456	0.584795322	0.730994152	0.243664717
H14	Drought tolerant	Aug.1	50	2	70.95516569	9.746588694	7.992202729	5.165692008	1.851851852	0.877192982	0.487329435	1.364522417
H15	Drought sensitive	Aug.1	75	2	68.76218324	11.59844055	8.28460039	6.237816764	1.803118908	0.828460039	0.389863548	0.389863548
H16	Drought sensitive	Aug.1	0	2	22.22222222	24.95126706	21.24756335	15.25341131	4.093567251	1.705653021	2.875243665	0.779727096
H17	Drought sensitive	Aug.1	75	3	26.36452242	20.37037037	20.56530214	16.32553606	5.994152047	1.510721248	2.095516569	1.26705653
H18	Drought tolerant	Aug.1	0	3	55.89668616	6.968810916	14.5711501	9.210526316	5.019493177	1.851851852	1.656920078	0.925925926
H19	Drought sensitive	Aug.1	50	3	74.02534113	4.824561404	10.33138402	3.996101365	3.898635478	1.26705653	0.097465887	0.341130604
H20	Drought tolerant	Aug.1	25	3	75.53606238	4.727095517	7.894736842	3.606237817	3.752436647	2.2417154	0.584795322	0.487329435
H21	Drought sensitive	Aug.1	25	3	79.77582846	5.311890838	6.773879142	3.460038986	2.680311891	0.633528265	0.243664717	0.438596491
H22	Drought tolerant	Aug.1	50	3	60.62378168	10.72124756	12.08576998	8.382066277	4.093567251	0.925925926	0.974658869	0.389863548
H23	Drought sensitive	Aug.1	0	3	65.05847953	8.771929825	11.15984405	7.30994152	3.606237817	1.218323587	0.633528265	0.292397661
H24	Drought tolerant	Aug.1	75	3	71.15009747	9.064327485	8.966861598	3.606237817	2.680311891	1.26705653	0.536062378	0.925925926
H25	Drought tolerant	Aug.1	25	4	25.24366472	21.34502924	21.73489279	13.40155945	4.62962963	2.2417154	2.729044834	1.803118908
H26	Drought tolerant	Aug.1	50	4	80.45808967	5.263157895	5.799220273	3.362573099	2.095516569	1.023391813	0.779727096	0.292397661
H27	Drought sensitive	Aug.1	0	4	60.0877193	7.992202729	14.5711501	7.407407407	4.191033138	1.364522417	0.877192982	0.925925926
H28	Drought sensitive	Aug.1	75	4	66.22807018	8.820662768	10.81871345	5.068226121	3.703703704	1.413255361	0.633528265	0.779727096
H29	Drought tolerant	Aug.1	0	4	69.73684211	8.089668616	9.746588694	5.263157895	2.972709552	0.877192982	0.389863548	1.023391813
H30	Drought sensitive	Aug.1	50	4	58.08966862	11.89083821	13.35282651	6.578947368	4.727095517	1.510721248	1.413255361	0.438596491
H31	Drought tolerant	Aug.1	75	4	53.89863548	11.06237817	14.27875244	7.553606238	3.557504873	3.021442495	0.633528265	0.925925926
H32	Drought sensitive	Aug.1	25	4	63.15789474	6.335282651	14.5711501	6.481481481	5.165692008	1.364522417	1.072124756	0.341130604
H34	Drought sensitive	Aug.1	0	5	58.72319688	11.5497076	10.96491228	5.89668616	2.680311891	2.729044834	0.730994152	3.801169591
H33	Drought tolerant	Aug.1	75	5	NA	NA	NA	NA	NA	NA	NA	NA
H35	Drought tolerant	Aug.1	0	5	55.55555556	12.91423002	14.81481481	6.871345029	2.192982456	2.436647173	0.682261209	1.364522417
H36	Drought tolerant	Aug.1	50	5	39.37621832	16.61793372	16.66666667	11.74463938	3.411306043	2.192982456	2.339181287	1.510721248
H37	Drought sensitive	Aug.1	25	5	54.72709552	12.71929825	14.32748538	8.138401559	2.582846004	1.851851852	1.072124756	1.461988304
H38	Drought tolerant	Aug.1	25	5	55.84795322	11.98830409	14.81481481	8.187134503	2.777777778	1.705653021	1.072124756	1.023391813
H39	Drought sensitive	Aug.1	50	5	64.13255361	11.40350877	11.50097466	7.115009747	2.2417154	0.828460039	0.633528265	0.584795322
H40	Drought sensitive	Aug.1	75	5	61.01364522	9.892787524	12.81676413	6.384015595	2.826510721	1.26705653	1.072124756	2.436647173
H41	Drought sensitive	Aug.1	50	6	21.58869396	26.16959064	21.49122807	14.42495127	3.411306043	2.582846004	2.290448343	1.461988304
H42	Drought tolerant	Aug.1	75	6	22.07602339	26.31578947	21.6374269	12.57309942	3.411306043	2.582846004	2.680311891	0.828460039
H43	Drought sensitive	Aug.1	25	6	22.7582846	26.60818713	19.29824561	15.20467836	2.923976608	2.38791423	2.339181287	1.023391813
H44	Drought sensitive	Aug.1	0	6	24.07407407	17.39766082	23.05068226	14.47368421	4.580896686	2.095516569	4.970760234	1.559454191
H45	Drought tolerant	Aug.1	50	6	20.90643275	23.29434698	22.95321637	11.45224172	4.239766082	4.239766082	3.167641326	3.118908382
H46	Drought tolerant	Aug.1	0	6	19.83430799	20.02923977	22.7582846	14.18128655	5.263157895	2.53411306	4.142300195	1.900584795
H47	Drought sensitive	Aug.1	75	6	23.39181287	25	24.07407407	8.918128655	3.703703704	4.532163743	2.290448343	1.998050682
H48	Drought tolerant	Aug.1	25	6	21.53996101	20.80896686	23.92787524	13.25536062	4.483430799	3.070175439	3.557504873	2.290448343
