	cultivar	date	treatment	block	Thaumarchaeota	Actinobacteria	Proteobacteria	Acidobacteria	Verrucomicrobia	Bacteroidetes	Planctomycetes	Firmicutes
A47	Drought sensitive	May.10	75	6	19.00584795	23.5380117	20.56530214	13.15789474	5.458089669	2.972709552	3.752436647	2.631578947
A48	Drought tolerant	May.10	25	6	16.52046784	28.50877193	22.95321637	10.03898635	4.62962963	3.313840156	3.021442495	2.38791423
B1	Drought sensitive	May.24	25	1	13.15789474	28.84990253	22.51461988	13.01169591	3.606237817	4.678362573	3.50877193	1.559454191
B2	Drought tolerant	May.24	0	1	13.98635478	27.87524366	27.68031189	13.791423	2.436647173	4.824561404	2.144249513	1.1208577
B3	Drought tolerant	May.24	75	1	17.00779727	31.48148148	22.85575049	12.13450292	2.436647173	3.898635478	2.53411306	1.851851852
B4	Drought sensitive	May.24	0	1	16.71539961	28.89863548	25.3411306	12.3294347	2.582846004	3.801169591	1.510721248	1.608187135
B5	Drought sensitive	May.24	50	1	7.504873294	45.80896686	24.17153996	6.773879142	1.656920078	4.727095517	1.072124756	4.62962963
B6	Drought sensitive	May.24	75	1	17.9337232	27.92397661	21.44249513	16.52046784	3.752436647	1.218323587	2.53411306	1.169590643
B7	Drought tolerant	May.24	25	1	17.05653021	29.33723197	22.56335283	14.18128655	3.65497076	2.192982456	2.192982456	1.656920078
B8	Drought tolerant	May.24	50	1	19.59064327	33.52826511	18.56725146	13.74269006	3.265107212	1.169590643	2.38791423	1.656920078
B9	Drought tolerant	May.24	0	2	21.78362573	23.68421053	21.49122807	15.44834308	6.237816764	1.169590643	1.803118908	1.1208577
B10	Drought tolerant	May.24	75	2	19.49317739	23.97660819	23.92787524	13.98635478	4.678362573	2.582846004	3.216374269	1.608187135
B11	Drought sensitive	May.24	25	2	18.42105263	25.04873294	19.68810916	18.37231969	2.875243665	1.364522417	2.777777778	1.608187135
B12	Drought sensitive	May.24	50	2	15.6920078	32.69980507	20.5165692	14.47368421	3.313840156	1.169590643	2.631578947	1.851851852
B13	Drought tolerant	May.24	25	2	16.42300195	27.33918129	20.85769981	16.27680312	3.849902534	1.364522417	2.680311891	1.608187135
